transaction_id,date,amount,is_completed,customer_tier,notes
TXN_1,08/06/2025,$446.13,0,Gold,Note 0
TXN_2,20250323,$324.13,1,Silver,Note 1
TXN_3,2025-11-03,$912.84,1,Platinum,Note 2
TXN_4,2025-07-21,$70.32,0,Silver,Note 3
TXN_5,20251008,$697.08,0,Gold,Note 4
TXN_6,20251130,$190.92,0,Platinum,Note 5
TXN_7,27-Aug-2025,$325.85,1,Gold,Note 6
TXN_8,2025-07-07,$421.36,0,Gold,Note 7
TXN_9,20260116,$908.93,0,Bronze,Note 8
TXN_10,11/10/2025,$250.15,1,Platinum,Note 9
TXN_11,2025-08-28,$100.40,1,Silver,Note 10
TXN_12,23-May-2025,$325.50,0,Gold,Note 11
TXN_13,20250909,$113.63,1,Silver,Note 12
TXN_14,2025-05-21,$137.31,0,Bronze,Note 13
TXN_15,2025-10-11,$578.11,0,Bronze,Note 14
TXN_16,20250318,$70.29,1,Platinum,Note 15
TXN_17,20251011,$40.62,0,Bronze,Note 16
TXN_18,20260228,$717.27,1,Bronze,Note 17
TXN_19,2025-04-08,$368.03,1,Silver,Note 18
TXN_20,20250821,$134.12,1,Bronze,Note 19
TXN_21,20251022,$261.08,0,Bronze,Note 20
TXN_22,2026-03-07,$645.67,1,Gold,Note 21
TXN_23,2025-05-26,$282.78,1,Bronze,Note 22
TXN_24,25-Mar-2025,$499.58,0,NULL,Note 23
TXN_25,02/14/2026,$130.48,0,Bronze,Note 24
TXN_26,2025-05-05,$592.21,0,Bronze,Note 25
TXN_27,06/30/2025,$322.92,0,Platinum,Note 26
TXN_28,16-Oct-2025,$630.70,1,Platinum,Note 27
TXN_29,14-Nov-2025,$810.31,1,Gold,Note 28
TXN_30,20250505,$615.53,1,Bronze,Note 29
TXN_31,12-Sep-2025,$302.79,0,Silver,Note 30
TXN_32,20251119,$263.19,0,Platinum,Note 31
TXN_33,20250420,$334.15,1,Silver,Note 32
TXN_34,2025-12-04,$172.97,0,Platinum,Note 33
TXN_35,2025-04-28,$189.36,0,Platinum,Note 34
TXN_36,11/03/2025,$792.78,1,Bronze,Note 35
TXN_37,20250329,$390.89,1,Platinum,Note 36
TXN_38,20250408,$441.64,0,Silver,Note 37
TXN_39,03/28/2025,$598.11,0,Platinum,Note 38
TXN_40,20251231,$593.76,0,Gold,Note 39
TXN_41,24-Apr-2025,$76.70,1,Bronze,Note 40
TXN_42,20260121,$833.23,1,Bronze,Note 41
TXN_43,20250424,$185.55,1,Gold,Note 42
TXN_44,20250415,$725.84,1,Gold,Note 43
TXN_45,2026-02-19,$774.94,1,Gold,Note 44
TXN_46,04-Oct-2025,$717.75,0,Platinum,Note 45
TXN_47,20250729,$583.19,0,Bronze,Note 46
TXN_48,22-Feb-2026,$24.46,0,Gold,Note 47
TXN_49,19-May-2025,$366.77,1,Platinum,Note 48
TXN_50,06-Sep-2025,$608.79,1,Gold,Note 49
TXN_51,01/03/2026,$393.58,1,Silver,Note 50
TXN_52,20260124,$864.85,0,Silver,Note 51
TXN_53,2025-10-11,$315.71,1,NULL,Note 52
TXN_54,2025-09-25,$300.60,1,Platinum,Note 53
TXN_55,2025-08-11,$273.34,0,Silver,Note 54
TXN_56,2025-12-12,$339.45,1,NULL,Note 55
TXN_57,20251129,$561.83,0,Platinum,Note 56
TXN_58,2026-01-03,$709.95,1,Gold,Note 57
TXN_59,08-Jun-2025,$665.94,1,Platinum,Note 58
TXN_60,09/05/2025,$809.64,0,Gold,Note 59
TXN_61,2025-06-13,$887.05,0,Silver,Note 60
TXN_62,28-Jun-2025,$817.92,0,Silver,Note 61
TXN_63,2025-10-23,$28.76,0,Silver,Note 62
TXN_64,20251217,$738.56,0,Bronze,Note 63
TXN_65,31-Oct-2025,$216.32,0,Bronze,Note 64
TXN_66,20250708,$141.60,1,Bronze,Note 65
TXN_67,2025-10-11,$642.10,1,Platinum,Note 66
TXN_68,19-Sep-2025,$326.55,0,NULL,Note 67
TXN_69,12-Jan-2026,$66.55,1,Silver,Note 68
TXN_70,15-Jul-2025,$146.25,0,Platinum,Note 69
TXN_71,2026-02-01,$10.92,1,Bronze,Note 70
TXN_72,12/29/2025,$904.19,0,Platinum,Note 71
TXN_73,11/16/2025,$34.37,1,Bronze,Note 72
TXN_74,20250330,$217.36,1,Silver,Note 73
TXN_75,03/31/2025,$422.10,1,Gold,Note 74
TXN_76,2025-08-20,$363.01,1,Bronze,Note 75
TXN_77,30-May-2025,$912.61,1,Silver,Note 76
TXN_78,05-Sep-2025,$49.89,0,Silver,Note 77
TXN_79,2026-01-24,$517.09,0,Gold,Note 78
